Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2015,December,3 Southern Metro, Stonnington," 7,777 "," 7,199.1 "
2015,December,3 Southern Metro,Total," 86,846 "," 5,938.8 "
2015,December,4 Western, Ararat, 910 ," 7,815.2 "
2015,December,4 Western, Ballarat," 8,730 "," 8,602.8 "
2015,December,4 Western, Buloke, 178 ," 2,822.7 "
2015,December,4 Western, Campaspe," 2,332 "," 6,230.5 "
2015,December,4 Western, Central Goldfields, 846 ," 6,532.8 "
2015,December,4 Western, Colac-Otway," 1,194 "," 5,624.1 "
2015,December,4 Western, Corangamite, 505 ," 3,103.1 "
2015,December,4 Western, Gannawarra, 456 ," 4,328.0 "
2015,December,4 Western, Glenelg," 1,227 "," 6,221.5 "
2015,December,4 Western, Golden Plains, 543 ," 2,538.8 "
2015,December,4 Western, Greater Bendigo," 6,349 "," 5,776.6 "
2015,December,4 Western, Greater Geelong," 15,452 "," 6,633.9 "
